Title,Year,IMDb,RottenTomatoes,Metacritic
Resident Evil,2002,6.7/10,34%,33/100
Resident Evil: Apocalypse,2004,6.2/10,21%,35/100
Resident Evil: Extinction,2007,6.3/10,23%,41/100
Resident Evil: Afterlife,2010,5.9/10,23%,37/100
Resident Evil: Retribution,2012,5.4/10,31%,39/100
Resident Evil: The Final Chapter,2016,5.6/10,36%,49/100
Resident Evil: Degeneration,2008,6.6/10,NA,NA
Resident Evil: Damnation,2012,6.5/10,NA,NA
Resident Evil: Vendetta,2017,6.3/10,NA,NA
Resident Evil: Red Falls,2013,5.7/10,NA,NA
Playing Dead: 'Resident Evil' from Game to Screen,2002,6.0/10,NA,NA
Resident Evil: The Nightmare of Dante,2013,6.7/10,NA,NA
Scoring Resident Evil,2002,6.2/10,NA,NA
The Evolution of 'Resident Evil': Bridge to Extinction,2007,8.5/10,NA,NA
Game Over: 'Resident Evil' Reanimated,2004,6.5/10,NA,NA
Resident Evil: Underground,2012,5.7/10,NA,NA
Resident Evil: Wesker's Report,2001,7.5/10,NA,NA
Resident Evil: Down with the Sickness,2012,6.8/10,NA,NA
Beyond Raccoon City: Unearthing 'Resident Evil: Extinction',2008,7.6/10,NA,NA
Resident Evil 1.5: Fan Trailer,2010,6.1/10,NA,NA
Resident Evil Damnation: Las Plagas - Organisms of War,2012,6.3/10,NA,NA
Resident Evil: Vengeance,2013,6.5/10,NA,NA
Resident Evil: Diary of an Apocalypse,2007,7.0/10,NA,NA
Resident Evil: Operation Raccoon City - Live Action Fan Trailer,2012,7.9/10,NA,NA
Resident Evil: Hunted,2010,7.9/10,NA,NA
Undead Evolution: Making 'Resident Evil: Afterlife',2011,8.9/10,NA,NA
Resident Evil: Resurrection,2012,7.2/10,NA,NA
Back from the Afterlife: Making 'Resident Evil: Retribution',2012,7.3/10,NA,NA
Resident Evil Revelations 2,2015,5.9/10,NA,NA
Resident Evil Damnation: The DNA of Damnation,2012,8.0/10,NA,NA
